Hospital Name,State,City/Area,Address
New Era Hospital Ltd,Abia,Aba,"213/215 Azikiwe Road, Aba"
Living Word Hospital,Abia,Aba,"5/7 Umuocham Street, Off Aba-Owerri Road, Aba"
Mendel Hospital,Abia,Aba,"20 Tenant Road, Aba"
Alpha Inland Hospital,Abia,Aba,"36 Glass Industry Road, Aba"
St. Anthony's Hospital,Abia,Aba,"62/80 Etche Road, Aba"
Zikora Medical Center,Abia,Aba,"Ogbor Hill, Aba"
Life Care Clinics Ltd,Abia,Aba,"8 Eziukwu Road, Aba"
Ngozi Hospital,Abia,Umuahia,"9 Warri Street, Umuahia"
Healing Cross Hospital,Abia,Umuahia,"Km 2 Bende Road, Umuahia"
Hammer Smith Medical Centre,Abia,Umuahia,"Block 3 Amuzukwu Road, Amuzukwu Layout, Umuahia"
Madonna Catholic Hospital,Abia,Umuahia,"Aba Road, Umuahia"
Amana Medical Centre,Abuja,Abuja FCT,"Block A No.1 Nairobi Street, Off Aminu Kano Crescent, Wuse 2, Abuja"
Bio Royal Hospital,Abuja,Garki,"190 Okene/Jebba Close, Area 2, Garki, Abuja"
Alliance Clinic & Services,Abuja,Abuja FCT,"No. 5 Malumfashi Close, Off Emeka Anyaoku Street, Area 11, Abuja"
City Hospital,Abuja,Wuse,"Wuse Zone 5, Opposite the High Court, Abuja"
Katameya Firstcall Hospital Ltd,Abuja,Kado Kuchi,"Opposite Cash N Carry, Kado, Abuja"
Kelina Medical Centre,Abuja,Gwarimpa,"3rd Avenue, Gwarimpa Estate, Abuja"
Silver-Fountain Medical Centre,Abuja,Airport Road,"Kukwaba District, Phase 11, Opp. Kuchingoro, Airport Road, Abuja"
Capital Hospital,Abuja,Wuse,"5 Oran Street, Zone 1, Wuse, Abuja"
Rouz Hospital & Maternity Ltd,Abuja,Apo,"Plot 557, 2nd Gate, Zone D, Apo Quarter, Garki, Abuja"
Limi Hospital & Maternity Limited,Abuja,CBD,"Plot 541, Off Constitution Avenue, Central Area, Abuja"
Arewa Specialist Hospital,Abuja,Jabi,"31 Alex Ekwueme Way, Jabi, Abuja"
Nisa Premier Hospital,Abuja,Jabi,"33 Alex Ekwueme Way, Jabi, Abuja"
Familycare Multiclinics Ltd,Abuja,Asokoro,"9 Lord Lugard Street, Asokoro, Abuja"
